文件名,偏移量,大小(字节),标识符
phase.au,1409535,3944,0x10d2e200
pl_align.au,1413479,11435,0x80e1e200
point.au,1424914,2454,0x400ee300
pound.au,1427368,5263,0xe017e300
power.au,1432631,3755,0x802ce300
pressure_en.au,1436386,4066,0x403be300
psi.au,1440452,8580,0x304be300
pump.au,1449032,3836,0xc06ce300
quality.au,1452868,5857,0xd07be300
ready.au,1458725,4829,0xc092e300
ready_for_takeoff.au,1463554,10452,0xb0a5e300
receiver.au,1474006,5287,0x90cee300
rescue.au,1479293,7509,0x40e3e300
rescue_e.au,1486802,8337,0xa000e400
rescue_s.au,1495139,10483,0x4021e400
rpm.au,1505622,14866,0x404ae400
seconds.au,1520488,8766,0x6084e400
sensor.au,1529254,7053,0xb0a6e400
sink.au,1536307,4364,0x50c2e400
smoke.au,1540671,4898,0x70d3e400
speed.au,1545569,4190,0xa0e6e400
spooldown.au,1549759,7255,0x10f7e400
spoolup.au,1557014,6290,0x7013e500
spotlight.au,1563304,7377,0x102ce500
stabilization.au,1570681,10965,0xf048e500
stall.au,1581646,4705,0xd073e500
start.au,1586351,6165,0x4086e500
still.au,1592516,4077,0x609ee500
stop.au,1596593,5703,0x60aee500
takeoff.au,1602296,5711,0xb0c4e500
taking.au,1608007,8180,0x10dbe500
temperature.au,1616187,6546,0x10fbe500
thermal.au,1622733,4400,0xb014e600
timer.au,1627133,3760,0xf025e600
too_fast.au,1630893,7304,0xb034e600
tr_connected.au,1638197,10385,0x4051e600
tr_disconnected.au,1648582,11560,0xe079e600
tr_enabled.au,1660142,9169,0x10a7e600
transmitter.au,1669311,6694,0xf0cae600
turbine.au,1676005,6371,0x20e5e600
unlock.au,1682376,5640,0x10fee600
used.au,1688016,3366,0x2014e700
volt.au,1691382,6256,0x5021e700
watts.au,1697638,5836,0xd039e700
